fips,date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,county
36001,2020-03-03,0,775,0,38,0,119,,,0,0,33,305432,40,,,36001,Albany
36001,2020-03-04,0,775,0,38,0,119,,,0,18,44,305402,51,,,36001,Albany
36001,2020-03-05,0,775,0,38,0,119,,,0,42,58,305362,67,,,36001,Albany
36001,2020-03-06,0,775,0,38,0,119,,,0,74,76,305309,88,,,36001,Albany
36001,2020-03-07,0,775,0,38,0,119,,,0,115,99,305240,115,,,36001,Albany
36001,2020-03-08,0,775,0,38,0,119,,,0,170,130,305150,151,,,36001,Albany
36001,2020-03-09,0,775,0,38,0,119,,,0,241,170,305034,197,,,36001,Albany
36001,2020-03-10,0,775,0,38,0,119,,,0,332,221,304889,250,,,36001,Albany
36001,2020-03-11,0,775,0,38,0,119,,,0,446,285,304712,313,,,36001,Albany
36001,2020-03-12,0,775,0,38,0,119,,,0,588,361,304498,384,1,38,36001,Albany
36001,2020-03-13,0,775,0,38,0,119,1.5,4,0,762,451,304245,465,3,62,36001,Albany
36001,2020-03-14,0,775,0,38,0,119,1.66,2.64,0,969,556,303949,553,6,167,36001,Albany
36001,2020-03-15,1,775,0,38,0,119,1.96,2.06,0,1214,675,303611,646,12,269,36001,Albany
36001,2020-03-16,1,775,1,38,0,119,2.06,1.64,0,1497,807,303233,742,23,398,36001,Albany
36001,2020-03-17,1,775,1,38,0,119,1.94,1.36,0,1818,949,302817,836,36,652,36001,Albany
36001,2020-03-18,1,775,1,38,1,119,1.84,1.18,0,2177,1099,302371,923,43,976,36001,Albany
36001,2020-03-19,2,775,2,38,1,119,1.68,1.06,0,2570,1251,301903,998,61,1408,36001,Albany
36001,2020-03-20,2,775,2,38,1,119,1.72,0.96,0,2989,1400,301426,1056,88,1880,36001,Albany
36001,2020-03-21,3,775,2,38,1,119,1.66,0.9,0,3428,1539,300952,1092,123,2422,36001,Albany
36001,2020-03-22,3,775,3,38,2,119,1.62,0.82,0,3877,1660,300492,1102,127,2615,36001,Albany
36001,2020-03-23,4,775,3,38,2,119,1.54,0.76,0,4326,1760,300048,1097,146,2740,36001,Albany
36001,2020-03-24,4,775,4,38,2,119,1.52,0.72,0,4775,1841,299586,1110,152,2932,36001,Albany
36001,2020-03-25,5,775,4,38,2,119,1.47,0.65,0,5233,1915,299105,1134,171,3006,36001,Albany
36001,2020-03-26,5,775,5,38,3,119,1.44,0.6,0,5701,1985,298606,1164,187,3102,36001,Albany
36001,2020-03-27,5,775,5,38,3,119,1.41,0.57,0,6183,2054,298090,1198,195,3195,36001,Albany
36001,2020-03-28,6,775,5,38,3,119,1.37,0.53,0,6679,2123,297557,1235,205,3258,36001,Albany
36001,2020-03-29,6,775,6,38,3,119,1.35,0.51,0,7190,2194,297008,1273,217,3307,36001,Albany
36001,2020-03-30,7,775,6,38,4,119,1.32,0.5,0,7717,2265,296441,1312,226,3370,36001,Albany
36001,2020-03-31,7,775,6,38,4,119,1.31,0.49,0,8261,2338,295858,1353,240,3464,36001,Albany
36001,2020-04-01,7,775,7,38,4,119,1.31,0.47,0,8821,2413,295256,1394,253,3557,36001,Albany
36001,2020-04-02,8,775,7,38,4,119,1.29,0.47,0,9398,2489,294637,1436,267,3648,36001,Albany
36001,2020-04-03,8,775,7,38,4,119,1.37,0.37,0,9993,2567,293999,1479,293,3745,36001,Albany
36001,2020-04-04,8,775,8,38,5,119,1.37,0.39,0,10605,2647,293343,1523,305,3850,36001,Albany
36001,2020-04-05,9,775,8,38,5,119,1.35,0.39,0,11236,2728,292668,1567,319,3925,36001,Albany
36001,2020-04-06,9,775,8,38,5,119,1.35,0.41,0,11884,2811,291974,1613,333,3997,36001,Albany
36001,2020-04-07,9,775,9,38,5,119,1.34,0.4,0,12551,2895,291261,1659,342,4062,36001,Albany
36001,2020-04-08,10,775,9,38,6,119,1.33,0.41,0,13237,2980,290529,1705,379,4254,36001,Albany
36001,2020-04-09,10,775,9,38,6,119,1.32,0.4,0,13942,3067,289777,1752,426,4539,36001,Albany
36001,2020-04-10,11,775,10,38,6,119,1.31,0.41,0,14666,3155,289005,1800,446,4678,36001,Albany
36001,2020-04-11,11,775,10,38,6,119,1.31,0.41,0,15410,3245,288214,1848,478,4869,36001,Albany
36001,2020-04-12,11,775,10,38,6,119,1.3,0.4,0,16173,3336,287402,1896,499,5041,36001,Albany
36001,2020-04-13,12,775,11,38,7,119,1.29,0.39,0,16956,3428,286570,1945,535,5221,36001,Albany
36001,2020-04-14,12,775,11,38,7,119,1.28,0.38,0,17759,3522,285718,1994,548,5314,36001,Albany
36001,2020-04-15,12,775,11,38,7,119,1.26,0.38,0,18583,3616,284845,2043,581,5582,36001,Albany
36001,2020-04-16,13,775,12,38,7,119,1.26,0.36,0,19426,3711,283953,2093,619,5817,36001,Albany
36001,2020-04-17,13,775,12,38,8,119,1.24,0.36,0,20290,3806,283039,2142,648,6079,36001,Albany
36001,2020-04-18,14,775,13,38,8,119,1.23,0.35,0,21173,3903,282106,2192,682,6350,36001,Albany
36001,2020-04-19,14,775,13,38,8,119,1.23,0.35,0,22077,3999,281152,2241,687,6448,36001,Albany
36001,2020-04-20,14,775,13,38,8,119,1.23,0.37,0,23001,4096,280179,2291,704,6595,36001,Albany
36001,2020-04-21,15,775,14,38,9,119,1.23,0.35,0,23946,4194,279185,2340,737,6798,36001,Albany
36001,2020-04-22,15,775,14,38,9,119,1.22,0.36,0,24910,4291,278172,2389,758,6955,36001,Albany
36001,2020-04-23,16,775,14,38,9,119,1.23,0.37,0,25894,4388,277144,2434,805,7227,36001,Albany
36001,2020-04-24,16,775,15,38,9,119,1.27,0.33,0,26893,4481,276113,2465,899,7759,36001,Albany
36001,2020-04-25,16,775,15,38,10,119,1.3,0.3,0,27902,4566,275084,2485,948,8112,36001,Albany
36001,2020-04-26,17,775,16,38,10,119,1.29,0.29,0,28917,4641,274060,2494,979,8344,36001,Albany
36001,2020-04-27,17,775,16,38,10,119,1.3,0.28,0,29934,4704,273043,2494,1009,8511,36001,Albany
36001,2020-04-28,18,775,16,38,10,119,1.29,0.27,0,30950,4753,272037,2485,1067,8804,36001,Albany
36001,2020-04-29,18,775,17,38,11,119,1.27,0.27,0,31960,4788,271045,2467,1165,9145,36001,Albany
36001,2020-04-30,18,775,17,38,11,119,1.28,0.24,0,32960,4809,270069,2441,1204,9484,36001,Albany
36001,2020-05-01,19,775,17,38,11,119,1.26,0.22,0,33949,4814,269114,2408,1238,9884,36001,Albany
