cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,30,0,0,1,0,0,,2020-03-01,0-1
0,0.17,0,9.47,8.53,0.07,0.01,33,1,0,0.45,0,1.16,0,12.48,1,,0.16,13.04,0,5.07,0,0,0,0,30,0,0.26,1,11.91,0,,2020-03-02,0-1
0.01,0.65,0.03,23.11,14.38,0.44,0.05,33,1,0.01,1.48,0,3.52,0.02,14.66,1,,1,15.06,0,17.13,0.01,0.01,0,0.01,30,0,1.61,1,25.85,0,,2020-03-03,0-1
0.02,0.85,0.08,38.69,16.04,1.38,0.14,33,1,0.03,3.38,0,12.15,0.1,16.47,1,,2.98,17.06,0,32.57,0.06,0.02,0.01,0.04,30,0,5.33,1,41.73,0.01,,2020-03-04,0-1
0.05,0,0.18,56.06,17.7,3.13,0.3,33,1,0.07,5.09,0.01,11.11,0.27,18.26,1,,6.82,19.04,0.01,49.63,0.17,0.03,0.02,0.08,30,0,12.01,1,59.53,0.03,,2020-03-05,0-1
0.12,3.88,0.34,75.21,19.34,5.92,0.55,33,1,0.17,8.05,0.01,14.74,0.61,20.04,1,,12.78,21,0.02,68.4,0.38,0.06,0.04,0.15,30,0,22.13,1,79.23,0.06,,2020-03-06,0-1
0.22,5.61,0.56,96.14,20.97,9.98,0.93,33,1,0.33,12.08,0.03,21.53,1.2,21.8,1,,21.39,22.94,0.05,88.86,0.73,0.11,0.06,0.24,30,0,38.05,1,100.89,0.12,,2020-03-07,0-1
0.39,7.67,0.87,118.88,22.58,15.55,1.45,33,1,0.57,16.36,0.04,29.18,2.12,23.74,1,,33.2,28.22,0.09,110.99,1.27,0.17,0.1,0.38,30,0,59.89,1,124.76,0.22,,2020-03-08,0-1
0.63,10.04,1.26,144.08,24.18,22.79,2.12,33,1,0.93,21.09,0.07,37.85,3.46,26.66,1,,48.49,37,0.15,134.78,2.06,0.25,0.15,0.55,30,0,88.13,1,154.56,0.36,,2020-03-09,0-1
0.97,12.68,1.75,172.3,25.77,31.86,2.95,33,1,1.44,26.35,0.1,47.15,5.3,29.85,1,,67.44,46.45,0.25,160.21,3.13,0.36,0.22,0.77,30,0,123.13,1,196.24,0.58,,2020-03-10,0-1
1.45,15.56,2.32,204.17,27.52,42.85,3.95,33,1,2.11,32.06,0.15,57.01,7.72,33.96,1,,90.1,56.38,0.38,187.27,4.52,0.49,0.3,1.04,30,0,164.93,1,247.63,0.87,,2020-03-11,0-1
2.08,18.64,2.99,240.52,29.26,55.81,5.1,33,1,2.99,38.05,0.2,67.23,10.79,38.87,1,,116.55,66.7,0.57,216.06,6.29,0.64,0.41,1.37,30,0,213.51,1,309.14,1.26,,2020-03-12,0-1
2.88,21.88,3.74,282.21,31.51,70.76,6.41,33,1,4.08,44.29,0.27,77.81,14.56,44.56,1,,146.73,77.36,0.83,248.39,8.44,0.82,0.53,1.73,30,0,268.72,1,381.14,1.78,,2020-03-13,0-1
3.89,25.26,4.58,329.8,33.24,87.67,7.88,33,1,5.42,50.8,0.35,88.76,19.07,50.68,1,,180.57,88.36,1.16,284.72,11.02,1.02,0.66,2.14,30,0,330.41,1,463.98,2.43,,2020-03-14,0-1
5.13,28.76,5.51,383.7,35.66,106.51,9.49,33,1,7.03,57.52,0.44,100.01,24.36,57.21,1,,218,99.69,1.58,323.34,14.03,1.25,0.82,2.59,30,0,398.45,1,557.98,3.23,,2020-03-15,0-1
6.61,32.38,6.52,444.33,37.31,127.23,11.24,33,1,8.88,64.47,0.55,111.52,30.46,64.04,1,,258.95,111.24,2.11,362.97,17.5,1.5,1,3.08,30,0,472.63,1,663.42,4.21,,2020-03-16,0-1
8.37,36.1,7.6,511.97,38.94,149.77,13.11,33,1,10.99,71.67,0.67,123.6,37.35,71.23,1,,303.35,123.39,2.75,401.09,21.44,1.77,1.2,3.61,30,0,552.86,1,780.67,5.39,,2020-03-17,0-1
10.43,39.87,8.76,586.86,40.55,174.07,15.09,33,1,13.38,79.03,0.8,136.33,45.05,78.55,1,,351.09,136.16,3.52,440.84,25.84,2.07,1.41,4.18,30,0,639.37,1,910.41,6.78,,2020-03-18,0-1
12.82,43.6,9.98,669.07,42.16,199.99,17.18,33,1,15.9,86.52,0.95,148.97,53.52,85.83,1,,401.96,148.82,4.44,482.21,30.71,2.4,1.65,4.78,30,0,731.98,1,1052.97,8.41,,2020-03-19,0-1
15.57,47.19,11.25,758.57,45.71,227.3,19.44,33,1,18.39,93.46,1.07,161.03,62.81,93,1,,455.65,160.92,5.52,526.07,36.05,2.76,1.9,5.42,30,0,829.87,1,1207.89,10.29,,2020-03-20,0-1
