model_team,pointNA,target_end_date
GT.DeepCOVID,18354.8466,2020-05-09
GT.DeepCOVID,20175.0748,2020-05-16
SWC.TerminusCM,24584,2020-06-15
USACE.ERDC_SEIR,32022.5325188118,2020-06-15
SWC.TerminusCM,24603,2020-06-16
USACE.ERDC_SEIR,32061.5146074117,2020-06-16
SWC.TerminusCM,24624,2020-06-17
USACE.ERDC_SEIR,32097.828731757,2020-06-17
SWC.TerminusCM,24646,2020-06-18
USACE.ERDC_SEIR,32131.6431186786,2020-06-18
MIT_CovAlliance.SIR,30574.072,2020-06-19
SWC.TerminusCM,24668,2020-06-19
USACE.ERDC_SEIR,32163.1285560897,2020-06-19
SWC.TerminusCM,24688,2020-06-20
USACE.ERDC_SEIR,32192.4362688803,2020-06-20
MIT_CovAlliance.SIR,30604.496,2020-06-20
SWC.TerminusCM,24688,2020-06-20
USACE.ERDC_SEIR,32192.4362688803,2020-06-20
Covid19Sim.Simulator,30962.1649453537,2020-06-21
MIT_CovAlliance.SIR,30633.578,2020-06-21
SWC.TerminusCM,24708,2020-06-21
USACE.ERDC_SEIR,32219.7145856998,2020-06-21
PSI.DRAFT,31109,2020-06-22
Auquan.SEIR,31265,2020-06-22
CU.nochange,31156,2020-06-22
CU.scenario_high,31157,2020-06-22
CU.scenario_low,31156,2020-06-22
CU.scenario_mid,31158,2020-06-22
CU.select,31156,2020-06-22
Covid19Sim.Simulator,30992.9882915426,2020-06-22
CovidActNow.SEIR_CAN,,2020-06-22
Geneva.DetGrowth,31175.0515200648,2020-06-22
IowaStateLW.STEM,31099,2020-06-22
JHU_IDD.CovidSP,30948.9333333333,2020-06-22
LANL.GrowthRate,31166.1844712411,2020-06-22
OliverWyman.Navigator,31165.53876,2020-06-22
UA.EpiCovDA,31144,2020-06-22
UCLA.SuEIR,31167.9563559272,2020-06-22
MIT_CovAlliance.SIR,30661.365,2020-06-22
SWC.TerminusCM,24726,2020-06-22
USACE.ERDC_SEIR,32245.0997541971,2020-06-22
MIT_CovidAnalytics.DELPHI,31144,2020-06-23
MOBS_NEU.GLEAM_COVID,31139.6143042602,2020-06-23
NotreDame.mobility,24746.1004921005,2020-06-23
PSI.DRAFT,31134.5,2020-06-23
UT.Mobility,31364,2020-06-23
Auquan.SEIR,31397,2020-06-23
CU.nochange,31193,2020-06-23
CU.scenario_high,31192,2020-06-23
CU.scenario_low,31191,2020-06-23
CU.scenario_mid,31193,2020-06-23
CU.select,31191,2020-06-23
Covid19Sim.Simulator,31022.3855295788,2020-06-23
CovidActNow.SEIR_CAN,,2020-06-23
Geneva.DetGrowth,31219.6362313946,2020-06-23
IowaStateLW.STEM,31171,2020-06-23
JHU_IDD.CovidSP,31012.8866666667,2020-06-23
LANL.GrowthRate,31207.1210845077,2020-06-23
OliverWyman.Navigator,31205.42531,2020-06-23
UA.EpiCovDA,31162,2020-06-23
UCLA.SuEIR,31208.6560668228,2020-06-23
MIT_CovAlliance.SIR,30687.932,2020-06-23
SWC.TerminusCM,24744,2020-06-23
USACE.ERDC_SEIR,32268.717416569,2020-06-23
