date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region,subregion
2020-02-22,,,,,,,,,238,150,350,238,150,350,238,150,350,3.98024148461,US,NY,Nassau
2020-02-23,,,,,,,,,238,150,350,476,300,700,476,300,700,3.96464503538,US,NY,Nassau
2020-02-24,,,,,,,,,238,150,350,715,450,1050,715,450,1050,3.95920665167,US,NY,Nassau
2020-02-25,,,,,,,,,238,150,350,953,600,1400,953,600,1400,3.95189253714,US,NY,Nassau
2020-02-26,,,,,,,,,238,150,350,1191,750,1750,1191,750,1750,3.94207369555,US,NY,Nassau
2020-02-27,,,,,,,,,238,150,350,1429,900,2100,1429,900,2100,3.92892497876,US,NY,Nassau
2020-02-28,,,,,,,,,238,150,350,1667,1050,2450,1667,1050,2450,3.91137528773,US,NY,Nassau
2020-02-29,,,,,,,,,238,150,350,1906,1200,2800,1906,1200,2800,3.88805346962,US,NY,Nassau
2020-03-01,,,,,,,,,238,150,350,2144,1350,3150,2144,1350,3150,3.85723620861,US,NY,Nassau
2020-03-02,,,,,,,,,1142,681,1785,3285,2031,4935,3285,2031,4935,3.81547899864,US,NY,Nassau
2020-03-03,,,,,,,,,1123,676,1746,4409,2708,6681,4409,2708,6681,3.76279933509,US,NY,Nassau
2020-03-04,,,,,,,,,1266,764,1993,5675,3472,8673,5675,3472,8673,3.69458683239,US,NY,Nassau
2020-03-05,,,,,,,,,1553,939,2477,7228,4412,11149,7228,4412,11149,3.60855206712,US,NY,Nassau
2020-03-06,,,,,,,,,2141,1304,3411,9369,5716,14560,9369,5716,14560,3.501874861,US,NY,Nassau
2020-03-07,,,,,,,,,3025,1874,4706,12395,7591,19265,12395,7591,19265,3.37243526856,US,NY,Nassau
2020-03-08,,,,,,,,,3689,2354,5687,15846,9796,24602,16084,9946,24952,3.21914125695,US,NY,Nassau
2020-03-09,,,,,,,,,4320,2851,6380,19927,12497,30632,20404,12797,31332,3.04230938215,US,NY,Nassau
2020-03-10,,,,,,,,,5108,3363,7386,24797,15711,37668,25511,16161,38718,2.84399082151,US,NY,Nassau
2020-03-11,,,,,,,,,6027,3541,8344,30585,19102,45661,31538,19702,47061,2.62752006741,US,NY,Nassau
2020-03-12,,,,,,,,,7012,3781,9530,37359,22734,54841,38550,23484,56591,2.39764251267,US,NY,Nassau
2020-03-13,,,,,,,,,7818,3860,10410,44939,26445,64900,46368,27345,67000,2.16087839675,US,NY,Nassau
2020-03-14,,,,,,,,,8427,3890,11712,53128,30185,76262,54795,31235,78712,1.92559207265,US,NY,Nassau
2020-03-15,,,,,,,,,8886,3893,12919,61775,33928,88830,63681,35128,91630,1.70143444435,US,NY,Nassau
2020-03-16,,,,,,,,,9190,3887,14521,70727,37665,103001,72871,39015,106151,1.49773721806,US,NY,Nassau
2020-03-17,1,1,,,,,,,9326,3861,15907,78912,40845,117123,82197,42876,122058,1.3215232113,US,NY,Nassau
2020-03-18,0,1,,,,,,,9276,3806,16445,87065,43975,131822,91474,46683,138503,1.1760843999,US,NY,Nassau
2020-03-19,2,3,,,,,,,9077,3741,16338,94875,46952,146167,100551,50425,154840,1.0608627079,US,NY,Nassau
2020-03-20,1,4,,,,,,,8788,3671,16040,102110,49684,159731,109338,54096,170880,0.972489729953,US,NY,Nassau
2020-03-21,0,4,,,,,,,8450,3587,16134,108419,51967,172453,117788,57684,187013,0.906247188072,US,NY,Nassau
2020-03-22,0,4,,,,,,,8085,3505,15484,113478,53598,183232,125873,61190,202497,0.857304867544,US,NY,Nassau
2020-03-23,0,4,,,,,,,7703,3426,14747,117492,54670,192292,133576,64616,217243,0.821437469693,US,NY,Nassau
2020-03-24,5,9,,,,,,,7312,3346,14057,120485,55166,199968,140889,67963,231300,0.795267047185,US,NY,Nassau
2020-03-25,8,17,,,,,,,6923,3268,13258,122301,55071,205840,147812,71232,244557,0.776229694768,US,NY,Nassau
2020-03-26,0,17,,,,,,,6546,3192,12405,122820,54722,209901,154358,74424,256961,0.762434133536,US,NY,Nassau
2020-03-27,2,19,,,,,,,6185,3117,11537,121992,54058,211908,160543,77542,268498,0.752505856371,US,NY,Nassau
2020-03-28,8,27,,,,,,,5843,3064,10681,120017,53262,212179,166385,80607,279179,0.745453501954,US,NY,Nassau
2020-03-29,12,39,,,,,,,5519,3018,9854,117109,52390,210321,171904,83626,289032,0.740564622802,US,NY,Nassau
2020-03-30,0,39,,,,,,,5213,2977,9066,113436,51474,206468,177117,86603,298098,0.737327704887,US,NY,Nassau
2020-03-31,9,48,,,,,,,4926,2942,8374,109172,50529,200321,182043,89545,306472,0.735374597756,US,NY,Nassau
2020-04-01,28,76,,,,,,,4658,2910,7773,104504,49578,192186,186701,92455,314244,0.734438204884,US,NY,Nassau
2020-04-02,0,76,,,,,,,4409,2860,7189,99637,48632,182930,191110,95315,321432,0.73432156067,US,NY,Nassau
2020-04-03,19,95,,,,,,,4177,2781,6652,94737,47672,173243,195287,98097,328083,0.73487530801,US,NY,Nassau
2020-04-04,0,95,,,,,,,3962,2746,6157,89911,46747,163361,199249,100844,334240,0.735981398925,US,NY,Nassau
2020-04-05,67,162,,,,,,,3761,2692,5815,85222,45851,153042,203010,103536,340055,0.73754145243,US,NY,Nassau
2020-04-06,0,162,,,,,,,3575,2590,5487,80713,44937,143045,206586,106127,345542,0.739468707983,US,NY,Nassau
